Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2015,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,102,4.3,2386830.00
AIDS deaths,2016,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,117,4.8,2432399.00
AIDS deaths,2017,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,134,5.4,2480508.00
AIDS deaths,2011,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,13,1.2,1126337.00
AIDS deaths,2012,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,16,1.4,1133890.00
AIDS deaths,2013,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,12,1.1,1139264.00
AIDS deaths,2014,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,9,0.8,1148650.00
AIDS deaths,2015,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,24,2.1,1153654.00
AIDS deaths,2016,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,14,1.2,1161178.00
AIDS deaths,2017,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,15,1.3,1170090.00
AIDS deaths,2011,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,596,8.1,7380087.00
AIDS deaths,2012,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,531,7.2,7408872.00
AIDS deaths,2013,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,563,7.6,7434824.00
AIDS deaths,2014,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,510,6.8,7453225.00
AIDS deaths,2015,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,512,6.9,7466207.00
AIDS deaths,2016,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,477,6.4,7478521.00
AIDS deaths,2017,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,468,6.2,7499348.00
AIDS deaths,2011,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,44,2.6,1705610.00
